iter	RMSE
0	257350.6989
1	157587.6566
2	134809.5056
3	119395.0337
4	113021.0705
5	107248.654
6	101999.2732
7	99211.46874
8	92675.43502
9	88380.61507
10	85837.84261
11	80890.53809
12	77810.21063
13	76854.3234
14	74076.61224
15	72057.77208
16	70602.57998
17	69457.21518
18	68392.5509
19	67918.58319
20	67337.45126
21	66462.67674
22	66109.14496
23	64418.77702
24	63041.04139
25	62281.92164
26	61153.89567
27	60679.85726
28	59771.25613
29	58663.54267
30	58234.53709
31	57834.85324
32	57014.11322
33	56882.1839
34	56075.93659
35	55568.47265
36	54723.86029
37	54497.47366
38	54163.26288
39	53913.28821
40	53490.05138
41	53361.16136
42	53330.83748
43	52952.68844
44	52778.55484
45	52667.50974
46	52647.71873
47	52413.84866
48	51984.39513
49	51721.76546
50	51533.7171
51	51039.04987
52	50800.57789
53	50729.35659
54	50413.77605
55	49931.80538
56	49616.77544
57	49261.55907
58	49042.7015
59	48739.45253
60	48580.55273
61	48456.77644
62	48368.07423
63	48233.47927
64	48188.04556
65	48181.63304
66	47929.63106
67	47871.79059
68	47764.43134
69	47507.83416
70	47385.03145
71	47250.95023
72	47159.10515
73	47043.86055
74	46979.92106
75	46711.51331
76	46416.89565
77	46149.22861
78	46093.98266
79	45744.902
80	45571.96035
81	45567.25163
82	45357.58868
83	45216.14188
84	45137.73591
85	44962.11062
86	44843.28613
87	44736.3177
88	44610.80408
89	44556.52747
90	44509.88868
91	44465.2088
92	44416.41199
93	44359.59373
94	44332.48939
95	44235.14569
96	44170.26775
97	44132.26582
98	44072.54924
99	44051.64002
