iter	Passed	Remaining
0	1	170
1	3	168
2	4	158
3	6	153
4	7	148
5	9	145
6	10	143
7	12	140
8	13	140
9	15	137
10	16	135
11	18	133
12	19	131
13	21	129
14	22	127
15	23	125
16	25	124
17	26	122
18	28	120
19	29	118
20	31	116
21	32	115
22	33	113
23	35	111
24	36	109
25	38	109
26	39	107
27	41	106
28	42	105
29	44	103
30	45	102
31	47	100
32	48	99
33	50	97
34	51	96
35	53	94
36	54	93
37	55	91
38	57	89
39	58	88
40	60	86
41	61	84
42	62	83
43	64	81
44	65	80
45	67	78
46	68	77
47	69	75
48	71	74
49	72	72
50	74	71
51	76	70
52	77	68
53	79	67
54	81	66
55	82	64
56	84	63
57	85	62
58	87	60
59	88	59
60	90	57
61	91	56
62	92	54
63	94	53
64	95	51
65	97	50
66	98	48
67	100	47
68	102	45
69	103	44
70	105	42
71	106	41
72	108	40
73	109	38
74	111	37
75	113	35
76	114	34
77	116	32
78	118	31
79	119	29
80	121	28
81	122	26
82	124	25
83	125	23
84	127	22
85	128	20
86	130	19
87	131	17
88	133	16
89	134	14
90	136	13
91	137	11
92	139	10
93	140	8
94	142	7
95	143	5
96	145	4
97	146	2
98	148	1
99	149	0
